school_code,full_school_name,school_name,lvl,School Address,school_address,am_earliest_arr,am_latest_arr,AM Bus Departure,PM Bus Arrival,pm_earliest_dep,pm_latest_dep,home_lat,home_lon
88.0,088 - ANNA BROCHHAUSE,ANNA BROCHHAUSE,,5801 E 16TH ST,"5801 E 16TH ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.788444,-86.068314
90.0,090 - ERNIE PYLE,ERNIE PYLE,,3351 W 18TH ST,"3351 W 18TH ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.7898934,-86.2146188
93.0,093 - PHALEN @ GEORGE H. FISHER,PHALEN @ GEORGE H. FISHER,,E 35TH ST & KENSINGTON DR,"E 35TH ST & KENSINGTON DR, Indianapolis, IN",7:20 AM,7:40 AM,7:30 AM,2:10 PM,2:15 PM,2:25 PM,39.8201955,-86.04041289999999
94.0,094 - GEORGE BUCK,GEORGE BUCK,,2701 N DEVON AVE,"2701 N DEVON AVE, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8068864,-86.022122
96.0,096 - MEREDITH NICHOLSON,MEREDITH NICHOLSON,,3651 N KIEL AVE,"3651 N KIEL AVE, Indianapolis, IN",7:20 AM,7:40 AM,7:30 AM,2:10 PM,2:15 PM,2:25 PM,39.8210499,-86.2624151
99.0,099 - SANKOFA,SANKOFA,,5801 E 30TH ST,"5801 E 30TH ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8109146,-86.0670694
102.0,102 - STEP AHEAD ACADEMY @ FRANCIS BELLAMY ,STEP AHEAD ACADEMY @ FRANCIS BELLAMY ,HS,9501 E 36TH PL,"9501 East 36th Place, Indianapolis, IN 46235",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.82241339999999,-86.0007155
103.0,103 - PHALEN @ FRANCIS SCOTT KEY,PHALEN @ FRANCIS SCOTT KEY,,3920 BAKER DR,"3920 BAKER DR, Indianapolis, IN",7:20 AM,7:40 AM,7:30 AM,2:10 PM,2:15 PM,2:25 PM,39.8285139,-86.0018547
105.0,105 - CHARLES WARREN FAIRBANKS,CHARLES WARREN FAIRBANKS,,8620 MONTERY RD,"8620 MONTERY RD, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8309287,-86.01606369999999
106.0,106 - ROBERT LEE FROST,ROBERT LEE FROST,,5301 ROXBURY RD,"5301 ROXBURY RD, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8493482,-86.07132949999999
107.0,107 - LEW WALLACE,LEW WALLACE,,3307 ASHWAY DR,"3307 ASHWAY DR, Indianapolis, IN",7:15 AM,7:35 AM,7:25 AM,2:05 PM,2:10 PM,2:20 PM,39.8153611,-86.26815350000001
109.0,109 - JONATHAN JENNINGS,JONATHAN JENNINGS,,6150 GATEWAY DR,"6150 GATEWAY DR, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8291689,-86.26799489999999
114.0,114 - PAUL I. MILLER,PAUL I. MILLER,,2251 SLOAN AVE,"2251 SLOAN AVE, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.7368414,-86.08663849999999
302.0,302 - CENTER FOR INQUIRY #2,CENTER FOR INQUIRY #2,,725 N NEW JERSEY ST,"725 N NEW JERSEY ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.77713070000001,-86.15013590000001
315.0,315 - COLDS SPRINGS,COLDS SPRINGS,,3650 COLD SPRING RD,"3650 COLD SPRING RD, Indianapolis, IN",8:40 AM,9:00 AM,8:50 AM,3:55 PM,4:00 PM,4:10 PM,39.8220007,-86.2028249
327.0,327 - CENTER FOR INQUIRY 27,CENTER FOR INQUIRY 27,,545 E 19TH ST,"545 E 19TH ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.7916755,-86.14775050000001
346.0,346 - DANIEL WEBSTER,DANIEL WEBSTER,,1450 S REISNER ST,"1450 S REISNER ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.7466127,-86.1899564
356.0,356 - FRANCIS W. PARKER,FRANCIS W. PARKER,,2353 COLUMBIA AVE,"2353 COLUMBIA AVE, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8009343,-86.1364242
359.0,359 - MERLE SIDENER LEARNING COMMUNITY,MERLE SIDENER LEARNING COMMUNITY,,2424 KESSLER BOULEVARD EAST DR,"2424 KESSLER BOULEVARD EAST DR, Indianapolis, IN",9:00 AM,9:20 AM,9:15 AM,4:10 PM,4:15 PM,4:30 PM,39.8628287,-86.12158330000001
367.0,367 - STEPHEN FOSTER,STEPHEN FOSTER,,653 N SOMERSET AVE,"653 N SOMERSET AVE, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.7760893,-86.22132859999999
